Acanthisitta_chloris	ASM69581v1
Alligator_mississippiensis	ASM28112v3
Alligator_sinensis	ASM45574v1
Amazona_aestiva	ASM142067v1
Amazona_vittata	AV1
Anas_platyrhynchos	BGI_duck_1.0
Anolis_carolinensis	AnoCar2.0
Anser_cygnoides_domesticus	AnsCyg_PRJNA183603_v1.0
Antrostomus_carolinensis	ASM70074v1
Apaloderma_vittatum	ASM70340v1
Aptenodytes_forsteri	ASM69914v1
Apteryx_australis_mantelli	AptMant0
Aquila_chrysaetos_canadensis	Aquila_chrysaetos-1.0.2
Ara_macao	SMACv1.1
Balearica_regulorum	ASM70989v1
Buceros_rhinoceros	ASM71030v1
Calidris_pugnax	ASM143184v1
Calypte_anna	ASM69908v1
Caprimulgus_carolinensis	ASM70074v1
Cariama_cristata	ASM69053v1
Cathartes_aura	ASM69994v1
Chaetura_pelagica	ChaPel_1.0
Charadrius_vociferus	ASM70802v2
Chlamydotis_macqueenii	ASM69519v1
Chrysemys_picta_bellii	Chrysemys_picta_bellii-3.0.3
Colius_striatus	ASM69071v1
Columba_livia	Cliv_1.0
Corvus_brachyrhynchos	ASM69197v1
Corvus_cornix_cornix	Hooded_Crow_genome
Coturnix_japonica	Coturnix_japonica_2.0
Crocodylus_porosus	Cpor_2.0
Cuculus_canorus	ASM70932v1
Egretta_garzetta	ASM68718v1
Eurypyga_helias	ASM69077v1
Falco_cherrug	F_cherrug_v1.0
Falco_peregrinus	F_peregrinus_v1.0
Fulmarus_glacialis	ASM69083v1
Gallus_gallus	Gallus_gallus-5.0
Gavia_stellata	ASM69087v1
Gavialis_gangeticus	ggan_v0.2
Geospiza_fortis	GeoFor_1.0
Haliaeetus_albicilla	ASM69140v1
Haliaeetus_leucocephalus	Haliaeetus_leucocephalus-4.0
Leptosomus_discolor	ASM69178v1
Manacus_vitellinus	ASM69201v2
Meleagris_gallopavo	Turkey_5.0
Melopsittacus_undulatus	Melopsittacus_undulatus_6.3
Merops_nubicus	ASM69184v1
Mesitornis_unicolor	ASM69576v1
Nestor_notabilis	ASM69687v1
Nipponia_nippon	ASM70822v1
Ophisthocomus_hoazin	ASM69207v1
Parus_major	Parus_major1.0.3
Pelecanus_crispus	ASM68737v1
Phaethon_lepturus	ASM68728v1
Phalacrocorax_carbo	ASM70892v1
Phoenicopterus_ruber	ASM68726v1
Picoides_pubescens	ASM69900v1
Podiceps_cristatus	ASM69954v1
Pseudopodoces_humilis	PseHum1.0
Pterocles_gutturalis	ASM69924v1
Pygoscelis_adeliae	ASM69910v1
Serinus_canaria	SCA1
Struthio_camelus	ASM69896v1
Sturnus_vulgaris	Sturnus_vulgaris-1.0
Taeniopygia_guttata	Taeniopygia_guttata-3.2.4
Tauraco_erythrolophus	ASM70936v1
Tinamus_guttatus	ASM70537v2
Tyto_alba	ASM68720v1
Zonotrichia_albicollis	Zonotrichia_albicollis-1.0.1
Zosterops_lateralis_melanops	ASM128173v1
